bank;indice_bcb;total_clientes;ano;trimestre;periodo;ordem_cronologica
99PAY IP (conglomerado);33.18;22883342;2025;1;Q1/25;20251
ABC-BRASIL (conglomerado);0.0;48494;2025;1;Q1/25;20251
ACG IP (conglomerado);0.0;83302;2025;1;Q1/25;20251
ADYEN DO BRASIL IP (conglomerado);0.0;132;2025;1;Q1/25;20251
AFINZ IP (conglomerado);0.0;418738;2025;1;Q1/25;20251
AGIBANK (conglomerado);625.36;3872888;2025;1;Q1/25;20251
AGORACRED S/A SCFI (conglomerado);0.0;682062;2025;1;Q1/25;20251
AL5 S.A. CFI (conglomerado);0.0;20231;2025;1;Q1/25;20251
ALELO IP (conglomerado);0.0;5303231;2025;1;Q1/25;20251
AME DIGITAL BRASIL IP (conglomerado);2767.99;43305;2025;1;Q1/25;20251
ANDBANK (conglomerado);0.0;4604;2025;1;Q1/25;20251
ASAAS GESTAO FINANCEIRA IP (conglomerado);50.45;1025968;2025;1;Q1/25;20251
BANCO B3 (conglomerado);0.0;1176;2025;1;Q1/25;20251
BANCO BARI DE INVESTIMENTO E FINANCI. (conglomerado);488.59;93336;2025;1;Q1/25;20251
BANCO C6 (conglomerado);58.44;31796476;2025;1;Q1/25;20251
BANCO CNH INDUSTRIAL CAPITAL S.A.;0.0;34173;2025;1;Q1/25;20251
BANCO DIGIMAIS (conglomerado);526.21;142406;2025;1;Q1/25;20251
BANCO GUANABARA S.A.;0.0;1818;2025;1;Q1/25;20251
BANCO HSBC S.A.;0.0;5945;2025;1;Q1/25;20251
BANCO KDB DO BRASIL S.A.;0.0;177;2025;1;Q1/25;20251
BANCO MASTER (conglomerado);226.4;10309487;2025;1;Q1/25;20251
BANCO PAULISTA (conglomerado);0.0;10977;2025;1;Q1/25;20251
BANCO SEMEAR (conglomerado);0.0;161868;2025;1;Q1/25;20251
BANCO TOPÁZIO S.A. (conglomerado);0.0;10933;2025;1;Q1/25;20251
BANCOOB (conglomerado);18.66;3343426;2025;1;Q1/25;20251
BANESTES (conglomerado);0.0;1480962;2025;1;Q1/25;20251
BANK OF CHINA (BRASIL) (conglomerado);0.0;122659;2025;1;Q1/25;20251
BANQI IP (conglomerado);8.38;4463427;2025;1;Q1/25;20251
BANRISUL (conglomerado);20.59;5580642;2025;1;Q1/25;20251
BB (conglomerado);20.55;78676764;2025;1;Q1/25;20251
BBC S.A. (conglomerado);0.0;17489;2025;1;Q1/25;20251
BCO ABN AMRO CLEARING (conglomerado);0.0;1;2025;1;Q1/25;20251
BCO ARBI S.A. (conglomerado);86.25;606989;2025;1;Q1/25;20251
BCO COOPERATIVO SICREDI (conglomerado);0.0;9865664;2025;1;Q1/25;20251
BCO CSF S.A. (conglomerado);19.63;9470181;2025;1;Q1/25;20251
BCO DA AMAZONIA S.A. (conglomerado);0.0;666223;2025;1;Q1/25;20251
BCO DAYCOVAL S.A (conglomerado);35.9;2320949;2025;1;Q1/25;20251
BCO DE LAGE LANDEN BRASIL S.A. (conglomerado);0.0;40096;2025;1;Q1/25;20251
BCO DO EST. DE SE S.A. (conglomerado);46.06;1031058;2025;1;Q1/25;20251
BCO DO EST. DO PA S.A. (conglomerado);98.88;947317;2025;1;Q1/25;20251
BCO DO NORDESTE DO BRASIL S.A. (conglomerado);0.0;10402119;2025;1;Q1/25;20251
BCO FIBRA S.A. (conglomerado);0.0;165624;2025;1;Q1/25;20251
BCO INBURSA S.A. (conglomerado);899.34;511749;2025;1;Q1/25;20251
BCO TOYOTA DO BRASIL S.A. (conglomerado);0.0;164014;2025;1;Q1/25;20251
BCO TRIANGULO S.A. (conglomerado);0.0;1714575;2025;1;Q1/25;20251
BK IP (conglomerado);0.0;2;2025;1;Q1/25;20251
BMG (conglomerado);60.14;10440575;2025;1;Q1/25;20251
BMW (conglomerado);0.0;58363;2025;1;Q1/25;20251
BNP PARIBAS (conglomerado);61.66;760370;2025;1;Q1/25;20251
BRADESCO (conglomerado);69.63;109814454;2025;1;Q1/25;20251
BRB (conglomerado);161.68;8017731;2025;1;Q1/25;20251
BS2 (conglomerado);95.22;469725;2025;1;Q1/25;20251
BTG PACTUAL/BANCO PAN (conglomerado);38.32;26117644;2025;1;Q1/25;20251
BULLLA IP (conglomerado);0.0;463557;2025;1;Q1/25;20251
CAIXA ECONÔMICA FEDERAL (conglomerado);22.91;154717097;2025;1;Q1/25;20251
CAIXA GERAL (conglomerado);0.0;1016;2025;1;Q1/25;20251
CALCARD IP (conglomerado);0.0;1024966;2025;1;Q1/25;20251
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;0.0;56661;2025;1;Q1/25;20251
CELCOIN IP (conglomerado);17.38;7625098;2025;1;Q1/25;20251
CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS;0.0;129980;2025;1;Q1/25;20251
CIELO IP (conglomerado);0.0;1870148;2025;1;Q1/25;20251
CITIBANK (conglomerado);0.0;17841;2025;1;Q1/25;20251
CLOUDWALK IP (conglomerado);6.32;10220550;2025;1;Q1/25;20251
COBUCCIO SCFI (conglomerado);302.68;2448124;2025;1;Q1/25;20251
COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;0.0;301;2025;1;Q1/25;20251
COOPER CARD IP (conglomerado);0.0;53061;2025;1;Q1/25;20251
CORA SCFI (conglomerado);0.0;2261468;2025;1;Q1/25;20251
CREDI SHOP S.A. (conglomerado);0.0;672844;2025;1;Q1/25;20251
CREDIARE CFI (conglomerado);0.0;65;2025;1;Q1/25;20251
CREDSYSTEM IP (conglomerado);10.65;3416786;2025;1;Q1/25;20251
CREFISA S.A. CFI (conglomerado);88.28;5945107;2025;1;Q1/25;20251
DLOCAL BRASIL INSTITUIÇÃO DE PAGAMENTO - PRUDENCIA (conglomerado);0.0;98814;2025;1;Q1/25;20251
DM FINANCEIRA CFI (conglomerado);78.32;2280025;2025;1;Q1/25;20251
DOCK IP (conglomerado);19.24;3572209;2025;1;Q1/25;20251
EAGLE SCD (conglomerado);0.0;0;2025;1;Q1/25;20251
EBANX IP (conglomerado);29.82;3039734;2025;1;Q1/25;20251
EDENRED SOLUCOES E IP AHA (conglomerado);0.0;713344;2025;1;Q1/25;20251
EFI S.A. IP (conglomerado);97.19;565363;2025;1;Q1/25;20251
EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS INSTITUICAO DE PAGAMENTO LTDA;0.0;284802;2025;1;Q1/25;20251
EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.;0.0;83532;2025;1;Q1/25;20251
FACTA S.A. CFI (conglomerado);519.91;2883958;2025;1;Q1/25;20251
FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;0.0;34547;2025;1;Q1/25;20251
FISERV DO BRASIL IP (conglomerado);0.0;132;2025;1;Q1/25;20251
FITBANK IP (conglomerado);318.31;93638;2025;1;Q1/25;20251
FLAGSHIP IP (conglomerado);0.0;85746;2025;1;Q1/25;20251
FLASH TECNOLOGIA IP (conglomerado);0.0;382558;2025;1;Q1/25;20251
FORIS GFS BR IP (conglomerado);0.0;330423;2025;1;Q1/25;20251
GAZINCRED SCFI (conglomerado);0.0;59807;2025;1;Q1/25;20251
GENIAL (conglomerado);22.48;1832400;2025;1;Q1/25;20251
GM (conglomerado);0.0;261393;2025;1;Q1/25;20251
GOLCRED (conglomerado);0.0;16734;2025;1;Q1/25;20251
HONDA (conglomerado);0.0;493053;2025;1;Q1/25;20251
HS FINANCEIRA (conglomerado);0.0;229460;2025;1;Q1/25;20251
INDUSTRIAL DO BRASIL (conglomerado);0.0;85245;2025;1;Q1/25;20251
INTER (conglomerado);62.14;36563772;2025;1;Q1/25;20251
ITAU (conglomerado);34.11;99186353;2025;1;Q1/25;20251
IUGU IP (conglomerado);606.79;266202;2025;1;Q1/25;20251
JBCRED S.A. SCFI (conglomerado);0.0;55829;2025;1;Q1/25;20251
JP MORGAN CHASE (conglomerado);0.0;4325;2025;1;Q1/25;20251
KANASTRA FINANCEIRA CFI (conglomerado);0.0;21950;2025;1;Q1/25;20251
KREDILIG S.A. - CFI (conglomerado);0.0;426192;2025;1;Q1/25;20251
LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;0.0;9;2025;1;Q1/25;20251
MAGALUPAY IP (conglomerado);0.0;3502205;2025;1;Q1/25;20251
MERCADO BITCOIN IP (conglomerado);0.0;22074;2025;1;Q1/25;20251
MERCADO PAGO IP (conglomerado);36.88;62606628;2025;1;Q1/25;20251
MERCANTIL DO BRASIL (conglomerado);226.96;8022088;2025;1;Q1/25;20251
MERCEDES-BENZ (conglomerado);0.0;17523;2025;1;Q1/25;20251
MIDWAY S.A. - SCFI (conglomerado);7.32;8904034;2025;1;Q1/25;20251
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;0.0;545457;2025;1;Q1/25;20251
NEON PAGAMENTOS IP (conglomerado);27.05;25977113;2025;1;Q1/25;20251
NOVO BCO CONTINENTAL S.A. - BM (conglomerado);0.0;22649;2025;1;Q1/25;20251
NU PAGAMENTOS (conglomerado);10.6;103734267;2025;1;Q1/25;20251
NVIO BRASIL BITSO IP (conglomerado);0.0;1303795;2025;1;Q1/25;20251
OKTO IP (conglomerado);0.0;8245;2025;1;Q1/25;20251
OMNI (conglomerado);0.0;156605;2025;1;Q1/25;20251
ONEKEY PAYMENTS IP (conglomerado);0.0;126;2025;1;Q1/25;20251
ORIGINAL (conglomerado);56.66;1843521;2025;1;Q1/25;20251
OURIBANK (conglomerado);0.0;1410136;2025;1;Q1/25;20251
PAGARE IP (conglomerado);0.0;63;2025;1;Q1/25;20251
PAGSEGURO (conglomerado);58.84;32033840;2025;1;Q1/25;20251
PAGUEVELOZ IP (conglomerado);11.51;3411977;2025;1;Q1/25;20251
PARANÁ BANCO (conglomerado);157.68;1432625;2025;1;Q1/25;20251
PAY BROKERS IP INSTITUICAO DE PAGAMENTO LTDA.;0.0;88;2025;1;Q1/25;20251
PAY4FUN IP S.A. (conglomerado);670.07;110137;2025;1;Q1/25;20251
PAYPAL DO BRASIL IP (conglomerado);0.0;225488;2025;1;Q1/25;20251
PEFISA S.A. (conglomerado);25.39;12011106;2025;1;Q1/25;20251
PICPAY (conglomerado);36.42;62176160;2025;1;Q1/25;20251
PINBANK BRASIL IP (conglomerado);0.0;29219;2025;1;Q1/25;20251
PINE (conglomerado);460.9;1437650;2025;1;Q1/25;20251
PLUXEE IP (conglomerado);0.0;1838467;2025;1;Q1/25;20251
PORTO SEGURO (conglomerado);107.89;3273902;2025;1;Q1/25;20251
QISTA S.A. CFI (conglomerado);0.0;105006;2025;1;Q1/25;20251
QUERO-QUERO VERDECARD IP (conglomerado);0.0;587645;2025;1;Q1/25;20251
REALIZE CFI (conglomerado);10.86;6445646;2025;1;Q1/25;20251
RECARGAPAY IP (conglomerado);27.24;10515912;2025;1;Q1/25;20251
RENDIMENTO (conglomerado);0.0;322146;2025;1;Q1/25;20251
RODOBENS (conglomerado);0.0;29215;2025;1;Q1/25;20251
RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;0.0;22281;2025;1;Q1/25;20251
SAFRA (conglomerado);106.4;4624319;2025;1;Q1/25;20251
